district	schoolName
315	1280,1281,1611,3371,4102,4104,4908,5786,7349,7433,8819
316	2880,4125,4126
317	4159,6082,9505
318	4174
319	453,568,1670,2576,3297,4112,4197,4631,6975,7549,8802
320	2408,2874,3248,4200,4201
321	2711,6493,6494,6495
322	151,2985,4220,4320,4515,4547,4594,4735,7372,7883
323	1888,2681,3240,4209,5643,6629,9412,9828
324	4227
325	4237
326	868,3271,4246,4252,8905
327	4254
328	417,882,926,1581,1742,1813,1883,2171,3261,3623,4043,4194,4229,4230,4279,4280,4682,4899,6050,6156,6577,9682,9886,9887,10083
329	4453
330	198,799,1019,1156,1394,1922,2124,2183,2203,2300,2604,2652,2732,3706,4313,4314,4439,4958,5834,6508,6509,6552,7181,7241,7245,7432,8169,8380,8506,8570,8712,8719,9241,9302,9303,9454,9602,9836,9853,10042,10043
331	4369
332	4409
333	3687,4411,4412,6560
334	463,880,2242,3116,3283,3393,3446,3485,4425,4501,5610,5662,6130,8848,9062,9076,9129,9820,10069
335	143,4434,6632,8784,9002,9085,9831
336	1466,4558,7744,9969
337	2413,4624,4625,4627
338	4626,7470
339	141,1352,3535,3655,4255,4270,4643,4644,4645,5980,5996,6008,6529,7011,7037,7048,7860,8423,8687,8709,8819,9209,9418,9788
340	4438
341	2663,4680,4681,6203,7681
342	120,464
343	4702
344	299,456,2221,4705,4942,7033
345	2914,3604,4706,4707,4708,8789
346	699,3724,4656,4713,4714,4715,9393,9686,9687,9774,10035
347	644,660,1973,8098,8385,9394
348	6465
349	582,700,1570,2612,3187,3341,3596,4046,4260,5157,5983,6457,6528,7584,7718,7867,8281,8502,8702,9101,9572,9607,9767
350	4716
351	4717
352	745,4723,4724
353	1652,2329,4740,7087,8130
354	64,1808,3445,4433,4668,5189,5800,6190,6728,7496,7497,8312,8383,9071,9695
355	4342,4757,4759,4760
356	4758
357	7357,7779
358	4764,4765
359	4763,4803,5918
360	6759,9202
361	4808
362	6653
363	1211,1424,2623,4053,4819,5416,5417,7219
364	4833,4834,6879,6931
365	9188
366	499,2740,4253,4910,4998,5007,8375,9648,9701
367	4857,7062
368	679,680,720,721,1494,3156,4054,4683,4684,4685,4869,4870,4873,4883,4884,5103,5274,5275,5741,6249,6254,6499,6979,7419,7420,7757,8210,8212,8871
369	1222,3804,4914,5466,8572,8652
370	2763,4917,4918,9093,9094,9136
371	4928
372	4929,8000
373	1847
374	4935
375	1384,2083,2256,2462,2595,2851,2852,2853,3905,4424,4674,4950,4957,5440,5476,6770,7361,7545,7770,8873,8974,9000,9243,9889,9913,10028
376	161,948,4947,6224,8351,8528,8529,8919
377	1844,4951,4952,4953,6299,9006
378	2460
379	2999,4955,4956,4958,4959,5104,5217,6289,7652,7677,9102,10020
380	324,918,4966,6182,8229,9881
381	213,4967,6197,6269
382	348,2162,2385,2418,2603,2748,2904,3358,4240,4361,4480,4602,4971,5169,5189,5202,5203,5657,6082,6273,6367,7156,8347,8812,9805
383	2096,3768,6311
384	4850,5000
385	154,216,574,779,1232,1270,4269,5008,5215,5443,5659,7838,8764,9862,10093
386	5012
387	5015
388	2002,5023,5024
